index,prenom,sex
1391,Geo,Male
1392,Houston,Male
1393,Issac,Male
1394,Jules,Male
1395,Larkin,Male
1396,Mat,Male
1397,Morton,Male
1398,Orlando,Male
1399,Pierce,Male
1400,Prince,Male
1401,Rollie,Male
1402,Rollin,Male
1403,Sim,Male
1404,Stuart,Male
1405,Wilburn,Male
1406,Bennett,Male
1407,Casper,Male
1408,Christ,Male
1410,Egbert,Male
1411,Elmo,Male
1413,Gabriel,Male
1414,Hector,Male
1415,Horatio,Male
1416,Lige,Male
1417,Saul,Male
1418,Smith,Male
1419,Squire,Male
1420,Tobe,Male
1422,Wyatt,Male
1423,Alford,Male
1425,Alton,Male
1426,Andres,Male
1427,Burl,Male
1428,Cicero,Male
1429,Dean,Male
1430,Dorsey,Male
1431,Enos,Male
1432,Howell,Male
1434,Loyd,Male
1435,Mahlon,Male
1436,Nat,Male
1437,Omar,Male
1438,Oran,Male
1439,Parker,Male
1440,Raleigh,Male
1441,Reginald,Male
1442,Rubin,Male
1443,Seymour,Male
1444,Wm,Male
1445,Young,Male
1446,Benjamine,Male
1448,Carlton,Male
1449,Eldridge,Male
1450,Elzie,Male
1451,Garrett,Male
